disease,diseaseLabel,type,typeLabel,disease_local_name
http://www.wikidata.org/entity/Q1120682,metachromatic leukodystrophy,http://www.wikidata.org/entity/Q929833,rare disease,metachromatic_leukodystrophy
http://www.wikidata.org/entity/Q112156204,trance-like syndrom,http://www.wikidata.org/entity/Q179630,syndrome,trance_like_syndrom
http://www.wikidata.org/entity/Q1125121,advanced sleep phase syndrome,http://www.wikidata.org/entity/Q929833,rare disease,advanced_sleep_phase_syndrome
http://www.wikidata.org/entity/Q112672967,Hemoglobin M disease,http://www.wikidata.org/entity/Q12136,disease,hemoglobin_m_disease
http://www.wikidata.org/entity/Q113173062,Forbes-Albright syndrome,http://www.wikidata.org/entity/Q179630,syndrome,forbes_albright_syndrome
http://www.wikidata.org/entity/Q1132536,persecutory delusion,http://www.wikidata.org/entity/Q12136,disease,persecutory_delusion
http://www.wikidata.org/entity/Q113268139,beta blocker poisoning,http://www.wikidata.org/entity/Q12136,disease,beta_blocker_poisoning
http://www.wikidata.org/entity/Q1133289,Cornelia de Lange syndrome,http://www.wikidata.org/entity/Q929833,rare disease,cornelia_de_lange_syndrome
http://www.wikidata.org/entity/Q113484511,An Outbreak of E. Coli O157:H7 Colitis Among School Children in Sakai City,http://www.wikidata.org/entity/Q272002,foodborne illness,an_outbreak_of_e._coli_o157:h7_colitis_among_school_children_in_sakai_city
http://www.wikidata.org/entity/Q113484511,An Outbreak of E. Coli O157:H7 Colitis Among School Children in Sakai City,http://www.wikidata.org/entity/Q1344603,enterohaemorrhagic Escherichia coli infection,an_outbreak_of_e._coli_o157:h7_colitis_among_school_children_in_sakai_city
http://www.wikidata.org/entity/Q1137321,onchocerciasis,http://www.wikidata.org/entity/Q18123741,infectious disease,onchocerciasis
http://www.wikidata.org/entity/Q114085,rhinitis,http://www.wikidata.org/entity/Q18123741,infectious disease,rhinitis
http://www.wikidata.org/entity/Q1141499,Ehlers-Danlos syndrome,http://www.wikidata.org/entity/Q42303753,designated intractable/rare disease,ehlers_danlos_syndrome
http://www.wikidata.org/entity/Q1144618,familial Mediterranean fever,http://www.wikidata.org/entity/Q929833,rare disease,familial_mediterranean_fever
http://www.wikidata.org/entity/Q1144618,familial Mediterranean fever,http://www.wikidata.org/entity/Q42303753,designated intractable/rare disease,familial_mediterranean_fever
http://www.wikidata.org/entity/Q11491562,acute hemorrhagic conjunctivitis,http://www.wikidata.org/entity/Q18123741,infectious disease,acute_hemorrhagic_conjunctivitis
http://www.wikidata.org/entity/Q11497176,Hand Yangming large intestine through disease,http://www.wikidata.org/entity/Q12136,disease,hand_yangming_large_intestine_through_disease
http://www.wikidata.org/entity/Q1151300,autoimmune lymphoproliferative syndrome,http://www.wikidata.org/entity/Q929833,rare disease,autoimmune_lymphoproliferative_syndrome
http://www.wikidata.org/entity/Q1153419,interstitial lung disease,http://www.wikidata.org/entity/Q929833,rare disease,interstitial_lung_disease
http://www.wikidata.org/entity/Q11542703,metagonimiasis,http://www.wikidata.org/entity/Q578994,parasitic helminthiasis infectious disease,metagonimiasis
http://www.wikidata.org/entity/Q115743091,spinal leak of cerebrospinal fluid,http://www.wikidata.org/entity/Q12136,disease,spinal_leak_of_cerebrospinal_fluid
http://www.wikidata.org/entity/Q115744557,cranial leak of cerebrospinal fluid,http://www.wikidata.org/entity/Q12136,disease,cranial_leak_of_cerebrospinal_fluid
http://www.wikidata.org/entity/Q1161568,granulomatosis with polyangiitis,http://www.wikidata.org/entity/Q42303753,designated intractable/rare disease,granulomatosis_with_polyangiitis
http://www.wikidata.org/entity/Q116167729,feline obesity,http://www.wikidata.org/entity/Q12174,obesity,feline_obesity
http://www.wikidata.org/entity/Q116167729,feline obesity,http://www.wikidata.org/entity/Q2084422,cat disease,feline_obesity
http://www.wikidata.org/entity/Q11627066,West Nile fever,http://www.wikidata.org/entity/Q18123741,infectious disease,west_nile_fever
http://www.wikidata.org/entity/Q116585753,knee bursitis,http://www.wikidata.org/entity/Q12136,disease,knee_bursitis
http://www.wikidata.org/entity/Q11659461,Hinamizawa Syndrome,http://www.wikidata.org/entity/Q360341,organic brain syndrome,hinamizawa_syndrome
http://www.wikidata.org/entity/Q11679861,ancylostomiasis,http://www.wikidata.org/entity/Q18123741,infectious disease,ancylostomiasis
http://www.wikidata.org/entity/Q117121,Wilson disease,http://www.wikidata.org/entity/Q929833,rare disease,wilson_disease
http://www.wikidata.org/entity/Q117121,Wilson disease,http://www.wikidata.org/entity/Q42303753,designated intractable/rare disease,wilson_disease
http://www.wikidata.org/entity/Q11781607,Native American myopathy,http://www.wikidata.org/entity/Q200779,genetic disease,native_american_myopathy
http://www.wikidata.org/entity/Q11781607,Native American myopathy,http://www.wikidata.org/entity/Q929833,rare disease,native_american_myopathy
http://www.wikidata.org/entity/Q11781607,Native American myopathy,http://www.wikidata.org/entity/Q55788864,developmental defect during embryogenesis,native_american_myopathy
http://www.wikidata.org/entity/Q11781607,Native American myopathy,http://www.wikidata.org/entity/Q55789477,head and neck disease,native_american_myopathy
http://www.wikidata.org/entity/Q1187697,adult-onset Still's disease,http://www.wikidata.org/entity/Q42303753,designated intractable/rare disease,adult_onset_still's_disease
http://www.wikidata.org/entity/Q11883686,myoclonic epilepsy,http://www.wikidata.org/entity/Q12136,disease,myoclonic_epilepsy
http://www.wikidata.org/entity/Q11903425,virulent Newcastle disease,http://www.wikidata.org/entity/Q18123741,infectious disease,virulent_newcastle_disease
http://www.wikidata.org/entity/Q11903425,virulent Newcastle disease,http://www.wikidata.org/entity/Q1928978,viral infectious disease,virulent_newcastle_disease
http://www.wikidata.org/entity/Q11903425,virulent Newcastle disease,http://www.wikidata.org/entity/Q12040649,bird disease,virulent_newcastle_disease
http://www.wikidata.org/entity/Q1194496,scrub typhus,http://www.wikidata.org/entity/Q18123741,infectious disease,scrub_typhus
http://www.wikidata.org/entity/Q11997695,fox mange,http://www.wikidata.org/entity/Q9190427,animal disease,fox_mange
http://www.wikidata.org/entity/Q1200256,delusional parasitosis,http://www.wikidata.org/entity/Q12135,mental disorder,delusional_parasitosis
http://www.wikidata.org/entity/Q1208144,boreout,http://www.wikidata.org/entity/Q179630,syndrome,boreout
http://www.wikidata.org/entity/Q120973015,Beckâ€“Fahrner syndrome,http://www.wikidata.org/entity/Q12136,disease,beckâ€“fahrner_syndrome
http://www.wikidata.org/entity/Q12099023,"attention deficit hyperactivity disorder, predominantly hyperactive-impulsive",http://www.wikidata.org/entity/Q1815366,behavioral disorder,"attention_deficit_hyperactivity_disorder,_predominantly_hyperactive_impulsive"
http://www.wikidata.org/entity/Q12099023,"attention deficit hyperactivity disorder, predominantly hyperactive-impulsive",http://www.wikidata.org/entity/Q3450985,neurodevelopmental disorder,"attention_deficit_hyperactivity_disorder,_predominantly_hyperactive_impulsive"
http://www.wikidata.org/entity/Q1210303,dicrocoeliasis,http://www.wikidata.org/entity/Q18123741,infectious disease,dicrocoeliasis
http://www.wikidata.org/entity/Q121041,appendicitis,http://www.wikidata.org/entity/Q18556754,colonic disease,appendicitis
http://www.wikidata.org/entity/Q12167939,chronic rhinitis,http://www.wikidata.org/entity/Q18123741,infectious disease,chronic_rhinitis
http://www.wikidata.org/entity/Q121842380,lamb dysentery,http://www.wikidata.org/entity/Q9190427,animal disease,lamb_dysentery
http://www.wikidata.org/entity/Q1227160,diphyllobothriasis,http://www.wikidata.org/entity/Q18123741,infectious disease,diphyllobothriasis
http://www.wikidata.org/entity/Q122751470,lumpy skin disease,http://www.wikidata.org/entity/Q3473026,bovine disease,lumpy_skin_disease
http://www.wikidata.org/entity/Q122903799,"microcephaly, facial dysmorphism, renal agenesis, and ambiguous genitalia syndrome",http://www.wikidata.org/entity/Q104477483,human disease,"microcephaly,_facial_dysmorphism,_renal_agenesis,_and_ambiguous_genitalia_syndrome"
http://www.wikidata.org/entity/Q1229994,paranoia,http://www.wikidata.org/entity/Q12135,mental disorder,paranoia
http://www.wikidata.org/entity/Q123754619,zoochosis,http://www.wikidata.org/entity/Q9190427,animal disease,zoochosis
http://www.wikidata.org/entity/Q1238645,Vogtâ€“Koyanagiâ€“Harada syndrome,http://www.wikidata.org/entity/Q55789477,head and neck disease,vogtâ€“koyanagiâ€“harada_syndrome
http://www.wikidata.org/entity/Q12412172,central diabetes insipidus,http://www.wikidata.org/entity/Q929833,rare disease,central_diabetes_insipidus
http://www.wikidata.org/entity/Q124407,type-1 diabetes,http://www.wikidata.org/entity/Q12136,disease,type_1_diabetes
http://www.wikidata.org/entity/Q126539679,kufungisisa,http://www.wikidata.org/entity/Q1791709,culture-bound syndrome,kufungisisa
http://www.wikidata.org/entity/Q12656487,hymenolepiasis,http://www.wikidata.org/entity/Q18123741,infectious disease,hymenolepiasis
http://www.wikidata.org/entity/Q127417752,perennial canker,http://www.wikidata.org/entity/Q3281225,fungal disease of plants,perennial_canker
http://www.wikidata.org/entity/Q127556,osteochondritis dissecans,http://www.wikidata.org/entity/Q929833,rare disease,osteochondritis_dissecans
http://www.wikidata.org/entity/Q1275814,konzo,http://www.wikidata.org/entity/Q12136,disease,konzo
http://www.wikidata.org/entity/Q12829964,Pes,http://www.wikidata.org/entity/Q949302,skin disease,pes
http://www.wikidata.org/entity/Q128601314,RÃ¶nnskÃ¤r disease,http://www.wikidata.org/entity/Q12136,disease,rã¶nnskã¤r_disease
http://www.wikidata.org/entity/Q1286320,neurilemmomatosis,http://www.wikidata.org/entity/Q929833,rare disease,neurilemmomatosis
http://www.wikidata.org/entity/Q1286499,dust mite allergy,http://www.wikidata.org/entity/Q12136,disease,dust_mite_allergy
http://www.wikidata.org/entity/Q1290616,epidemic typhus,http://www.wikidata.org/entity/Q18123741,infectious disease,epidemic_typhus
http://www.wikidata.org/entity/Q129104,anthrax,http://www.wikidata.org/entity/Q18123741,infectious disease,anthrax
http://www.wikidata.org/entity/Q129104,anthrax,http://www.wikidata.org/entity/Q314676,notifiable disease,anthrax
http://www.wikidata.org/entity/Q129279,dysentery,http://www.wikidata.org/entity/Q179630,syndrome,dysentery
http://www.wikidata.org/entity/Q13046587,pulmonary tuberculosis,http://www.wikidata.org/entity/Q18123741,infectious disease,pulmonary_tuberculosis
http://www.wikidata.org/entity/Q131176481,white mold,http://www.wikidata.org/entity/Q3281225,fungal disease of plants,white_mold
http://www.wikidata.org/entity/Q131749782,Werewolf syndrome,http://www.wikidata.org/entity/Q9190427,animal disease,werewolf_syndrome
http://www.wikidata.org/entity/Q132971,dyslexia,http://www.wikidata.org/entity/Q860740,learning disability,dyslexia
http://www.wikidata.org/entity/Q132971,dyslexia,http://www.wikidata.org/entity/Q97696569,reading disability,dyslexia
http://www.wikidata.org/entity/Q1331116,Alport syndrome,http://www.wikidata.org/entity/Q42303753,designated intractable/rare disease,alport_syndrome
http://www.wikidata.org/entity/Q1335642,Emery-Dreifuss muscular dystrophy,http://www.wikidata.org/entity/Q929833,rare disease,emery_dreifuss_muscular_dystrophy
http://www.wikidata.org/entity/Q1338684,tension headache,http://www.wikidata.org/entity/Q12136,disease,tension_headache
http://www.wikidata.org/entity/Q1345792,Goodpasture syndrome,http://www.wikidata.org/entity/Q42303753,designated intractable/rare disease,goodpasture_syndrome
http://www.wikidata.org/entity/Q134649,diphtheria,http://www.wikidata.org/entity/Q18123741,infectious disease,diphtheria
http://www.wikidata.org/entity/Q134649,diphtheria,http://www.wikidata.org/entity/Q314676,notifiable disease,diphtheria
http://www.wikidata.org/entity/Q134704545,WOREE syndrome,http://www.wikidata.org/entity/Q200779,genetic disease,woree_syndrome
http://www.wikidata.org/entity/Q134704545,WOREE syndrome,http://www.wikidata.org/entity/Q929833,rare disease,woree_syndrome
http://www.wikidata.org/entity/Q134704545,WOREE syndrome,http://www.wikidata.org/entity/Q3087172,developmental disorder,woree_syndrome
http://www.wikidata.org/entity/Q135278407,grey leaf spot of tomato,http://www.wikidata.org/entity/Q2662845,plant disease,grey_leaf_spot_of_tomato
http://www.wikidata.org/entity/Q1359898,cryptosporidiosis,http://www.wikidata.org/entity/Q18123741,infectious disease,cryptosporidiosis
http://www.wikidata.org/entity/Q1364270,hypertrophic cardiomyopathy,http://www.wikidata.org/entity/Q929833,rare disease,hypertrophic_cardiomyopathy
http://www.wikidata.org/entity/Q1364270,hypertrophic cardiomyopathy,http://www.wikidata.org/entity/Q42303753,designated intractable/rare disease,hypertrophic_cardiomyopathy
http://www.wikidata.org/entity/Q136524882,Diplocoria,http://www.wikidata.org/entity/Q12136,disease,diplocoria
http://www.wikidata.org/entity/Q136542288,gambling disorder,http://www.wikidata.org/entity/Q12135,mental disorder,gambling_disorder
http://www.wikidata.org/entity/Q1393718,hemophilia C,http://www.wikidata.org/entity/Q929833,rare disease,hemophilia_c
http://www.wikidata.org/entity/Q1404470,Felty's syndrome,http://www.wikidata.org/entity/Q708176,arthropathy,felty's_syndrome
http://www.wikidata.org/entity/Q1410831,fibrodysplasia ossificans progressiva,http://www.wikidata.org/entity/Q929833,rare disease,fibrodysplasia_ossificans_progressiva
http://www.wikidata.org/entity/Q1410831,fibrodysplasia ossificans progressiva,http://www.wikidata.org/entity/Q42303753,designated intractable/rare disease,fibrodysplasia_ossificans_progressiva
http://www.wikidata.org/entity/Q1417880,Non-Verbal Learning Disorder,http://www.wikidata.org/entity/Q860740,learning disability,non_verbal_learning_disorder
http://www.wikidata.org/entity/Q1418152,Mobius syndrome,http://www.wikidata.org/entity/Q55788864,developmental defect during embryogenesis,mobius_syndrome
http://www.wikidata.org/entity/Q1418152,Mobius syndrome,http://www.wikidata.org/entity/Q42303753,designated intractable/rare disease,mobius_syndrome
http://www.wikidata.org/entity/Q1418152,Mobius syndrome,http://www.wikidata.org/entity/Q55789477,head and neck disease,mobius_syndrome
http://www.wikidata.org/entity/Q1424706,opsoclonus myoclonus syndrome,http://www.wikidata.org/entity/Q929833,rare disease,opsoclonus_myoclonus_syndrome
http://www.wikidata.org/entity/Q1425018,Pallisterâ€“Killian syndrome,http://www.wikidata.org/entity/Q929833,rare disease,pallisterâ€“killian_syndrome
http://www.wikidata.org/entity/Q1425018,Pallisterâ€“Killian syndrome,http://www.wikidata.org/entity/Q55788864,developmental defect during embryogenesis,pallisterâ€“killian_syndrome
http://www.wikidata.org/entity/Q1431371,Frey syndrome,http://www.wikidata.org/entity/Q179630,syndrome,frey_syndrome
http://www.wikidata.org/entity/Q1432397,Kyasanur forest disease,http://www.wikidata.org/entity/Q18123741,infectious disease,kyasanur_forest_disease
http://www.wikidata.org/entity/Q1432717,catatonic schizophrenia,http://www.wikidata.org/entity/Q12135,mental disorder,catatonic_schizophrenia
http://www.wikidata.org/entity/Q1432717,catatonic schizophrenia,http://www.wikidata.org/entity/Q12136,disease,catatonic_schizophrenia
http://www.wikidata.org/entity/Q1435409,folie Ã  deux,http://www.wikidata.org/entity/Q12135,mental disorder,folie_ã _deux
http://www.wikidata.org/entity/Q1444550,arteriosclerotic heart disease,http://www.wikidata.org/entity/Q12136,disease,arteriosclerotic_heart_disease
http://www.wikidata.org/entity/Q1452604,multiple epiphyseal dysplasia,http://www.wikidata.org/entity/Q200779,genetic disease,multiple_epiphyseal_dysplasia
http://www.wikidata.org/entity/Q1452604,multiple epiphyseal dysplasia,http://www.wikidata.org/entity/Q929833,rare disease,multiple_epiphyseal_dysplasia
http://www.wikidata.org/entity/Q1452604,multiple epiphyseal dysplasia,http://www.wikidata.org/entity/Q55788864,developmental defect during embryogenesis,multiple_epiphyseal_dysplasia
http://www.wikidata.org/entity/Q1462780,Paris syndrome,http://www.wikidata.org/entity/Q12135,mental disorder,paris_syndrome
http://www.wikidata.org/entity/Q1462780,Paris syndrome,http://www.wikidata.org/entity/Q56815734,psychopathological syndrome,paris_syndrome
http://www.wikidata.org/entity/Q1472818,common variable immunodeficiency,http://www.wikidata.org/entity/Q929833,rare disease,common_variable_immunodeficiency
http://www.wikidata.org/entity/Q1476361,HAM,http://www.wikidata.org/entity/Q18123741,infectious disease,ham
http://www.wikidata.org/entity/Q1476361,HAM,http://www.wikidata.org/entity/Q42303753,designated intractable/rare disease,ham
http://www.wikidata.org/entity/Q1478321,spinal stenosis,http://www.wikidata.org/entity/Q42303753,designated intractable/rare disease,spinal_stenosis
http://www.wikidata.org/entity/Q1484058,short QT syndrome,http://www.wikidata.org/entity/Q929833,rare disease,short_qt_syndrome
http://www.wikidata.org/entity/Q1484058,short QT syndrome,http://www.wikidata.org/entity/Q18553676,thoracic disease,short_qt_syndrome
http://www.wikidata.org/entity/Q1495085,gas gangrene,http://www.wikidata.org/entity/Q18123741,infectious disease,gas_gangrene
http://www.wikidata.org/entity/Q1519971,Eustachian catarrh,http://www.wikidata.org/entity/Q12136,disease,eustachian_catarrh
http://www.wikidata.org/entity/Q152401,foot-and-mouth disease,http://www.wikidata.org/entity/Q18123741,infectious disease,foot_and_mouth_disease
http://www.wikidata.org/entity/Q152401,foot-and-mouth disease,http://www.wikidata.org/entity/Q3473026,bovine disease,foot_and_mouth_disease
http://www.wikidata.org/entity/Q153861,tularemia,http://www.wikidata.org/entity/Q18123741,infectious disease,tularemia
http://www.wikidata.org/entity/Q153861,tularemia,http://www.wikidata.org/entity/Q314676,notifiable disease,tularemia
http://www.wikidata.org/entity/Q15401586,pneumocystis pneumonia,http://www.wikidata.org/entity/Q12136,disease,pneumocystis_pneumonia
http://www.wikidata.org/entity/Q15401621,Trousseau's syndrome,http://www.wikidata.org/entity/Q12136,disease,trousseau's_syndrome
http://www.wikidata.org/entity/Q1544408,Alagille syndrome,http://www.wikidata.org/entity/Q929833,rare disease,alagille_syndrome
http://www.wikidata.org/entity/Q1544408,Alagille syndrome,http://www.wikidata.org/entity/Q42303753,designated intractable/rare disease,alagille_syndrome
http://www.wikidata.org/entity/Q154666,bovine spongiform encephalopathy,http://www.wikidata.org/entity/Q1755122,neurodegeneration,bovine_spongiform_encephalopathy
http://www.wikidata.org/entity/Q154865,botulism,http://www.wikidata.org/entity/Q18123741,infectious disease,botulism
http://www.wikidata.org/entity/Q154869,hepatitis C,http://www.wikidata.org/entity/Q18123741,infectious disease,hepatitis_c
http://www.wikidata.org/entity/Q154874,yellow fever,http://www.wikidata.org/entity/Q18123741,infectious disease,yellow_fever
http://www.wikidata.org/entity/Q154874,yellow fever,http://www.wikidata.org/entity/Q506680,endemic disease,yellow_fever
http://www.wikidata.org/entity/Q154878,toxoplasmosis,http://www.wikidata.org/entity/Q18123741,infectious disease,toxoplasmosis
http://www.wikidata.org/entity/Q154882,legionnaires' disease,http://www.wikidata.org/entity/Q18123741,infectious disease,legionnaires'_disease
http://www.wikidata.org/entity/Q154882,legionnaires' disease,http://www.wikidata.org/entity/Q314676,notifiable disease,legionnaires'_disease
http://www.wikidata.org/entity/Q1550844,canine brucellosis,http://www.wikidata.org/entity/Q53542448,dog disease,canine_brucellosis
http://www.wikidata.org/entity/Q155098,leptospirosis,http://www.wikidata.org/entity/Q18123741,infectious disease,leptospirosis
http://www.wikidata.org/entity/Q155857,rubella,http://www.wikidata.org/entity/Q18123741,infectious disease,rubella
http://www.wikidata.org/entity/Q155857,rubella,http://www.wikidata.org/entity/Q314676,notifiable disease,rubella
http://www.wikidata.org/entity/Q1559250,Peters plus syndrome,http://www.wikidata.org/entity/Q929833,rare disease,peters_plus_syndrome
http://www.wikidata.org/entity/Q1559250,Peters plus syndrome,http://www.wikidata.org/entity/Q55788864,developmental defect during embryogenesis,peters_plus_syndrome
http://www.wikidata.org/entity/Q156050,brucellosis,http://www.wikidata.org/entity/Q18123741,infectious disease,brucellosis
http://www.wikidata.org/entity/Q15731364,Equine atypical myopathy,http://www.wikidata.org/entity/Q29568408,horse disease,equine_atypical_myopathy
http://www.wikidata.org/entity/Q157661,hepatitis A,http://www.wikidata.org/entity/Q18123741,infectious disease,hepatitis_a
http://www.wikidata.org/entity/Q157661,hepatitis A,http://www.wikidata.org/entity/Q314676,notifiable disease,hepatitis_a
http://www.wikidata.org/entity/Q1582992,Tanganyika laughter epidemic,http://www.wikidata.org/entity/Q4532199,sociogenic illness,tanganyika_laughter_epidemic
http://www.wikidata.org/entity/Q1585081,malignant hyperthermia,http://www.wikidata.org/entity/Q929833,rare disease,malignant_hyperthermia
http://www.wikidata.org/entity/Q1585753,urethral stricture,http://www.wikidata.org/entity/Q727096,congenital disorder,urethral_stricture
http://www.wikidata.org/entity/Q1587881,popliteal pterygium syndrome,http://www.wikidata.org/entity/Q929833,rare disease,popliteal_pterygium_syndrome
http://www.wikidata.org/entity/Q1587881,popliteal pterygium syndrome,http://www.wikidata.org/entity/Q55788864,developmental defect during embryogenesis,popliteal_pterygium_syndrome
http://www.wikidata.org/entity/Q1587881,popliteal pterygium syndrome,http://www.wikidata.org/entity/Q55789477,head and neck disease,popliteal_pterygium_syndrome
http://www.wikidata.org/entity/Q15974799,polyuric-polydipsic syndrome,http://www.wikidata.org/entity/Q12136,disease,polyuric_polydipsic_syndrome
http://www.wikidata.org/entity/Q1598909,supraventricular tachycardia,http://www.wikidata.org/entity/Q925092,Wolffâ€“Parkinsonâ€“White syndrome,supraventricular_tachycardia
http://www.wikidata.org/entity/Q1598909,supraventricular tachycardia,http://www.wikidata.org/entity/Q815819,atrial fibrillation,supraventricular_tachycardia
http://www.wikidata.org/entity/Q160653,listeriosis,http://www.wikidata.org/entity/Q18123741,infectious disease,listeriosis
http://www.wikidata.org/entity/Q1607635,Feline hepatic lipidosis,http://www.wikidata.org/entity/Q2084422,cat disease,feline_hepatic_lipidosis
http://www.wikidata.org/entity/Q160796,delirium,http://www.wikidata.org/entity/Q12136,disease,delirium
http://www.wikidata.org/entity/Q1607983,erysipelothrix rhusiopathiae infectious disease,http://www.wikidata.org/entity/Q18123741,infectious disease,erysipelothrix_rhusiopathiae_infectious_disease
http://www.wikidata.org/entity/Q16333787,Wuchereria bancrofti filariasis,http://www.wikidata.org/entity/Q12136,disease,wuchereria_bancrofti_filariasis
http://www.wikidata.org/entity/Q163905,Lafora disease,http://www.wikidata.org/entity/Q929833,rare disease,lafora_disease
http://www.wikidata.org/entity/Q1640868,hyperammonemia,http://www.wikidata.org/entity/Q2351083,metabolic disease,hyperammonemia
http://www.wikidata.org/entity/Q164655,abscess,http://www.wikidata.org/entity/Q18123741,infectious disease,abscess
http://www.wikidata.org/entity/Q164727,ornithosis,http://www.wikidata.org/entity/Q9190427,animal disease,ornithosis
http://www.wikidata.org/entity/Q164727,ornithosis,http://www.wikidata.org/entity/Q18123741,infectious disease,ornithosis
http://www.wikidata.org/entity/Q164818,Q fever,http://www.wikidata.org/entity/Q18123741,infectious disease,q_fever
http://www.wikidata.org/entity/Q1648484,Duchenne muscular dystrophy,http://www.wikidata.org/entity/Q929833,rare disease,duchenne_muscular_dystrophy
http://www.wikidata.org/entity/Q1649897,catecholaminergic polymorphic ventricular tachycardia,http://www.wikidata.org/entity/Q929833,rare disease,catecholaminergic_polymorphic_ventricular_tachycardia
